#! FIELDS time phi psi ttsketch.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 25.400001 -2.709542 2.934487 0.000000
 25.600001 -2.344155 2.680908 0.000000
 25.800001 -2.136734 2.268893 0.000000
 26.000001 -1.938361 2.039914 0.000000
 26.200001 -1.476684 1.392155 0.000000
 26.400001 -1.527673 0.937882 0.000000
 26.600001 -1.156589 0.635849 0.000000
 26.800001 -1.760583 1.231795 0.000000
 27.000001 -1.335391 1.289967 0.000000
 27.200001 -1.130021 1.348896 0.000000
 27.400001 -1.338485 1.253837 0.000000
 27.600001 -1.112237 0.983935 0.000000
 27.800001 -1.499581 1.084709 0.000000
 28.000001 -1.306352 1.027728 0.000000
 28.200001 -1.389656 1.004616 0.000000
 28.400001 -1.518453 0.785017 0.000000
 28.600001 -1.379641 1.303672 0.000000
 28.800001 -1.528459 1.012432 0.000000
 29.000001 -1.260567 0.758496 0.000000
 29.200001 -1.267147 0.841530 0.000000
 29.400001 -1.636887 0.997992 0.000000
 29.600001 -1.431299 0.620796 0.000000
 29.800001 -1.219913 1.413499 0.000000
 30.000001 -1.466998 1.051019 0.000000
 30.200001 -1.304152 0.677451 0.000000
 30.400001 -1.214341 0.067140 0.000000
 30.600001 -1.470317 -0.101797 0.000000
 30.800001 -1.037326 -0.369663 0.000000
 31.000001 -1.576263 -0.140339 0.000000
 31.200001 -1.340382 0.243067 0.000000
 31.400001 -1.405005 1.020582 0.000000
 31.600002 -1.358471 1.601847 0.000000
 31.800002 -1.391364 1.949980 0.000000
 32.000002 -1.318584 2.460156 0.000000
 32.200002 -1.463049 2.679123 0.000000
 32.400002 -1.588188 2.246901 0.000000
 32.600002 -1.574518 2.048246 0.000000
 32.800002 -1.247739 1.993875 0.000000
 33.000002 -1.052457 2.453580 0.000000
 33.200002 -1.491765 2.116921 0.000000
 33.400002 -1.323167 1.202133 0.000000
 33.600002 -1.316699 0.704893 0.000000
 33.800002 -1.633349 0.408030 0.000000
 34.000002 -1.620932 1.058329 0.000000
 34.200002 -1.225256 1.378528 0.000000
 34.400002 -1.388499 0.847586 0.000000
 34.600002 -1.101465 1.434033 0.000000
 34.800002 -1.435650 1.899405 0.000000
 35.000002 -1.159468 1.466566 0.000000
 35.200002 -1.100783 1.305648 0.000000
 35.400002 -1.411049 0.914895 0.000000
 35.600002 -1.394768 0.747161 0.000000
 35.800002 -1.333715 0.417273 0.000000
 36.000002 -1.790694 0.508345 0.000000
 36.200002 -1.480094 0.518269 0.000000
 36.400002 -1.174624 0.508592 0.000000
 36.600002 -1.143939 0.782968 0.000000
 36.800002 -1.361666 1.181891 0.000000
 37.000002 -1.573459 0.781597 0.000000
 37.200002 -1.335841 0.767750 0.000000
 37.400002 -1.443901 1.044261 0.000000
 37.600002 -1.151107 1.043124 0.000000
 37.800002 -1.374561 1.121503 0.000000
 38.000002 -1.316639 0.779045 0.000000
 38.200002 -1.555937 0.614917 0.000000
 38.400002 -1.275320 1.113082 0.000000
 38.600002 -1.354567 1.072454 0.000000
 38.800002 -1.557526 0.419530 0.000000
 39.000002 -1.348031 0.273219 0.000000
 39.200002 -1.358073 1.131073 0.000000
 39.400002 -1.466204 1.099462 0.000000
 39.600002 -1.265898 1.237683 0.000000
 39.800002 -1.576819 1.087693 0.000000
 40.000002 -1.367889 1.007030 0.000000
 40.200002 -1.507735 0.960189 0.000000
 40.400002 -1.249178 1.014037 0.000000
 40.600002 -1.422291 1.201625 0.000000
 40.800002 -1.187705 0.601271 0.000000
 41.000002 -1.268903 0.764526 0.000000
 41.200002 -1.400012 0.884266 0.000000
 41.400002 -1.338177 0.797063 0.000000
 41.600002 -1.174594 0.866529 0.000000
 41.800002 -1.322213 1.081915 0.000000
 42.000002 -1.284992 1.156038 0.000000
 42.200002 -1.161222 1.556294 0.000000
 42.400002 -1.363709 1.096791 0.000000
 42.600002 -1.294036 1.499136 0.000000
 42.800002 -1.493994 2.035222 0.000000
 43.000002 -1.599394 2.198312 0.000000
 43.200002 -1.751310 2.356520 0.000000
 43.400002 -2.027719 2.693576 0.000000
 43.600002 -2.409920 2.881510 0.000000
 43.800002 -2.520673 -3.053526 0.000000
 44.000002 -2.399320 2.852141 0.000000
 44.200002 -2.416852 2.298651 0.000000
 44.400002 -2.558000 2.706908 0.000000
 44.600002 -2.415856 2.534426 0.000000
 44.800002 -1.612388 2.757386 0.000000
 45.000002 -1.764598 2.089527 0.000000
 45.200002 -1.524290 2.175212 0.000000
 45.400002 -1.685313 2.504106 0.000000
 45.600002 -1.314358 2.837021 0.000000
 45.800002 -2.190489 2.589748 0.000000
 46.000002 -2.489215 2.447823 0.000000
 46.200002 -1.879056 2.966362 0.000000
 46.400002 -2.154545 2.608334 0.000000
 46.600002 -2.498934 2.510859 0.000000
 46.800002 -2.252329 2.734141 0.000000
 47.000002 -2.371010 2.549998 0.000000
 47.200002 -2.600976 2.374474 0.000000
 47.400002 -2.278050 2.918585 0.000000
 47.600002 -2.266028 2.704283 0.000000
 47.800002 -2.451422 2.752932 0.000000
 48.000002 -2.647715 2.437489 0.000000
 48.200002 -2.245979 2.821464 0.000000
 48.400002 -2.277370 2.568254 0.000000
 48.600002 -2.078418 2.685443 0.000000
 48.800002 -2.259697 2.596240 0.000000
 49.000002 -2.689198 2.509263 0.000000
 49.200002 -2.668836 2.900241 0.000000
 49.400002 -2.507312 2.535858 0.000000
 49.600002 -2.403908 2.573079 0.000000
 49.800002 -2.452550 2.983789 0.000000
 50.000002 -2.628282 2.772786 0.000000
 50.200002 -2.404730 2.687024 0.000000
 50.400002 -2.739352 2.650457 0.000000
 50.600002 -2.344525 2.586438 0.000000
 50.800002 -2.669948 2.760506 0.000000
 51.000002 -2.266929 2.768836 0.000000
 51.200002 -1.630057 2.812516 0.000000
 51.400002 -1.342701 2.231500 0.000000
 51.600002 -1.407804 2.227134 0.000000
 51.800002 -1.527643 2.357441 0.000000
 52.000002 -1.525410 2.497505 0.000000
 52.200002 -1.292632 2.621849 0.000000
 52.400002 -1.525382 2.168403 0.000000
 52.600002 -1.580581 2.341017 0.000000
 52.800003 -1.968335 2.553591 0.000000
 53.000003 -2.070094 2.860415 0.000000
 53.200003 -1.756777 2.792216 0.000000
 53.400003 -2.156910 2.217009 0.000000
 53.600003 -1.841114 2.368557 0.000000
 53.800003 -1.523374 2.503057 0.000000
 54.000003 -2.363814 2.277903 0.000000
 54.200003 -2.076897 2.593254 0.000000
 54.400003 -2.446787 2.828254 0.000000
 54.600003 -2.426644 2.538782 0.000000
 54.800003 -2.350479 2.389641 0.000000
 55.000003 -2.565916 2.606203 0.000000
 55.200003 -2.494600 2.852436 0.000000
 55.400003 -2.436897 2.614464 0.000000
 55.600003 -2.817776 2.812150 0.000000
 55.800003 -2.533581 2.846745 0.000000
 56.000003 -2.676415 2.430931 0.000000
 56.200003 -2.440620 2.743345 0.000000
 56.400003 -2.694093 2.645809 0.000000
 56.600003 -2.432481 2.587811 0.000000
 56.800003 -2.520320 2.621516 0.000000
 57.000003 -2.411454 2.829097 0.000000
 57.200003 -2.380464 2.628794 0.000000
 57.400003 -2.901237 2.447122 0.000000
 57.600003 -2.459521 2.995458 0.000000
 57.800003 -2.403792 2.685563 0.000000
 58.000003 -2.657185 2.433676 0.000000
 58.200003 -2.215852 2.845973 0.000000
 58.400003 -2.505786 2.627159 0.000000
 58.600003 -2.841270 2.879227 0.000000
 58.800003 -2.603684 2.976083 0.000000
 59.000003 -2.494158 2.739699 0.000000
 59.200003 -2.559964 2.606218 0.000000
 59.400003 -2.856011 2.933572 0.000000
 59.600003 -2.740313 2.579705 0.000000
 59.800003 -2.483257 2.629429 0.000000
 60.000003 -2.957703 2.958470 0.000000
 60.200003 -2.510263 2.923762 0.000000
 60.400003 -2.201497 2.688972 0.000000
 60.600003 -2.561200 2.468559 0.000000
 60.800003 -2.385955 2.646485 0.000000
 61.000003 -1.765368 2.870570 0.000000
 61.200003 -2.337566 2.490885 0.000000
 61.400003 -2.723961 2.783893 0.000000
 61.600003 -2.493392 -3.116881 0.000000
 61.800003 -2.783798 2.927511 0.000000
 62.000003 -2.614562 2.796244 0.000000
 62.200003 -2.434365 2.628886 0.000000
 62.400003 -2.551067 2.744218 0.000000
 62.600003 -2.534016 2.603169 0.000000
 62.800003 -2.149276 -3.047892 0.000000
 63.000003 -2.371439 -3.140013 0.000000
 63.200003 -2.489712 2.494542 0.000000
 63.400003 -2.131159 2.368220 0.000000
 63.600003 -2.417857 2.745036 0.000000
 63.800003 -2.634104 2.837980 0.000000
 64.000003 -2.533754 2.762683 0.000000
 64.200003 -2.663715 -3.053876 0.000000
 64.400003 -2.787692 2.689514 0.000000
 64.600003 -2.141752 2.853338 0.000000
 64.800003 -2.207979 2.119034 0.000000
 65.000003 -2.185415 3.062970 0.000000
 65.200003 -2.490060 2.607784 0.000000
 65.400003 -2.328416 3.026293 0.000000
 65.600003 -2.914162 1.936294 0.000000
 65.800003 -2.085823 2.566987 0.000000
 66.000003 -1.633698 2.826925 0.000000
 66.200003 -2.299209 2.694403 0.000000
 66.400003 -2.450604 2.726495 0.000000
 66.600003 -2.597120 3.005483 0.000000
 66.800003 -2.898876 2.583127 0.000000
 67.000003 -2.309700 2.473330 0.000000
 67.200003 -2.272421 2.753979 0.000000
 67.400003 -2.435115 2.719661 0.000000
 67.600003 -2.100836 2.256273 0.000000
 67.800003 -2.223961 2.236664 0.000000
 68.000003 -2.061860 2.443395 0.000000
 68.200003 -2.605680 1.785991 0.000000
 68.400003 -2.312068 2.601578 0.000000
 68.600003 -2.266749 2.781622 0.000000
 68.800003 -2.847376 2.746275 0.000000
 69.000003 -2.373682 2.928061 0.000000
 69.200003 -2.321955 2.809495 0.000000
 69.400003 -2.532209 2.936034 0.000000
 69.600003 -2.502696 -3.084186 0.000000
 69.800003 -2.631956 2.823887 0.000000
 70.000003 -2.754471 2.579532 0.000000
 70.200003 -2.328247 2.757629 0.000000
 70.400003 -2.855550 -3.096086 0.000000
 70.600003 -2.439554 3.019102 0.000000
 70.800003 -2.450346 2.727071 0.000000
 71.000003 -2.397261 2.323513 0.000000
 71.200003 -2.139974 2.676019 0.000000
 71.400003 -2.445676 2.503244 0.000000
 71.600003 -2.496197 2.787995 0.000000
 71.800003 -2.529691 2.697048 0.000000
 72.000003 -2.600771 2.659784 0.000000
 72.200003 -2.660030 2.777556 0.000000
 72.400003 -2.119567 3.107830 0.000000
 72.600003 -1.966910 2.485311 0.000000
 72.800003 -1.936588 2.745338 0.000000
 73.000003 -2.065084 2.612000 0.000000
 73.200003 -2.654562 2.828593 0.000000
 73.400003 -2.372668 2.533758 0.000000
 73.600003 -2.470183 2.664123 0.000000
 73.800004 -1.828374 2.727381 0.000000
 74.000004 -1.662080 2.497553 0.000000
 74.200004 -1.286306 2.371766 0.000000
 74.400004 -1.526324 2.641356 0.000000
 74.600004 -2.047441 2.094860 0.000000
 74.800004 -1.760050 2.308288 0.000000
 75.000004 -2.505986 2.315700 0.000000
 75.200004 -2.563398 2.819459 0.000000
 75.400004 -2.283765 2.755360 0.000000
 75.600004 -2.242267 2.900200 0.000000
 75.800004 -2.470255 2.877669 0.000000
 76.000004 -2.772274 2.907769 0.000000
 76.200004 -2.423639 2.608565 0.000000
 76.400004 -2.387213 2.793805 0.000000
 76.600004 -2.470298 3.015278 0.000000
 76.800004 -2.694869 2.572438 0.000000
 77.000004 -2.522290 2.824688 0.000000
 77.200004 -2.131871 2.649107 0.000000
 77.400004 -1.440973 2.199750 0.000000
 77.600004 -1.534986 2.708492 0.000000
 77.800004 -1.396278 2.926185 0.000000
 78.000004 -0.945547 2.231605 0.000000
 78.200004 -1.085425 1.859276 0.000000
 78.400004 -1.284320 2.300215 0.000000
 78.600004 -1.821538 1.881764 0.000000
 78.800004 -1.145852 2.242593 0.000000
 79.000004 -1.349042 2.449070 0.000000
 79.200004 -1.569846 2.655142 0.000000
 79.400004 -1.546736 2.873347 0.000000
 79.600004 -1.886157 2.746265 0.000000
 79.800004 -2.238911 2.789159 0.000000
 80.000004 -2.253711 2.511534 0.000000
 80.200004 -2.582361 2.620628 0.000000
 80.400004 -2.683762 2.695268 0.000000
 80.600004 -2.532940 2.902801 0.000000
 80.800004 -2.510301 2.626966 0.000000
 81.000004 -2.682988 2.171915 0.000000
 81.200004 -2.231002 2.535013 0.000000
 81.400004 -1.956559 2.509300 0.000000
 81.600004 -1.231542 2.237549 0.000000
 81.800004 -1.100792 2.549950 0.000000
 82.000004 -1.575417 2.011137 0.000000
 82.200004 -1.636977 2.003667 0.000000
 82.400004 -1.060387 1.500489 0.000000
 82.600004 -1.539546 1.514743 0.000000
 82.800004 -1.627591 1.025898 0.000000
 83.000004 -1.326593 1.375217 0.000000
 83.200004 -1.429000 1.213253 0.000000
 83.400004 -1.467714 0.866828 0.000000
 83.600004 -1.589989 1.132561 0.000000
 83.800004 -1.520493 0.885945 0.000000
 84.000004 -1.331214 0.519139 0.000000
 84.200004 -1.257323 0.691374 0.000000
 84.400004 -1.346530 1.277643 0.000000
 84.600004 -1.378037 1.443043 0.000000
 84.800004 -1.335738 1.222342 0.000000
 85.000004 -1.356968 1.118925 0.000000
 85.200004 -1.574831 0.891215 0.000000
 85.400004 -1.122973 0.585867 0.000000
 85.600004 -1.089628 0.692799 0.000000
 85.800004 -1.616896 0.845233 0.000000
 86.000004 -1.300038 1.110740 0.000000
 86.200004 -1.685790 1.839053 0.000000
 86.400004 -1.379900 2.312495 0.000000
 86.600004 -1.314384 2.647708 0.000000
 86.800004 -1.566583 1.955489 0.000000
 87.000004 -1.725349 2.102468 0.000000
 87.200004 -1.250522 2.301860 0.000000
 87.400004 -1.785047 2.552711 0.000000
 87.600004 -2.130358 2.275140 0.000000
 87.800004 -2.057627 2.768846 0.000000
 88.000004 -2.645201 2.715922 0.000000
 88.200004 -2.238865 2.953388 0.000000
 88.400004 -2.443186 2.865994 0.000000
 88.600004 -2.765312 2.735181 0.000000
 88.800004 -2.092587 2.674339 0.000000
 89.000004 -2.353121 2.740864 0.000000
 89.200004 -2.601606 2.443917 0.000000
 89.400004 -2.465819 2.704627 0.000000
 89.600004 -2.252569 2.639792 0.000000
 89.800004 -2.617719 2.454193 0.000000
 90.000004 -1.978602 2.453538 0.000000
 90.200004 -2.182489 2.419939 0.000000
 90.400004 -1.567207 2.361849 0.000000
 90.600004 -1.121881 2.006066 0.000000
 90.800004 -1.703086 2.200845 0.000000
 91.000004 -2.332953 2.428493 0.000000
 91.200004 -2.707059 3.071578 0.000000
 91.400004 -2.902353 -3.135141 0.000000
 91.600004 -2.539452 -3.123733 0.000000
 91.800004 -2.460719 2.899515 0.000000
 92.000004 -2.538183 2.385865 0.000000
 92.200004 -1.465222 2.449845 0.000000
 92.400004 -1.299089 2.091108 0.000000
 92.600004 -1.355566 2.163285 0.000000
 92.800004 -1.141670 2.054107 0.000000
 93.000004 -1.538121 1.911929 0.000000
 93.200004 -1.145226 1.699332 0.000000
 93.400004 -1.314009 1.059410 0.000000
 93.600004 -1.462204 1.135587 0.000000
 93.800004 -1.316431 1.397109 0.000000
 94.000004 -1.247347 1.764111 0.000000
 94.200004 -1.152284 2.113916 0.000000
 94.400004 -1.289821 1.877417 0.000000
 94.600004 -1.247664 1.738699 0.000000
 94.800005 -1.565065 1.417100 0.000000
 95.000005 -1.389882 0.623061 0.000000
 95.200005 -1.112181 0.505111 0.000000
 95.400005 -1.275294 1.163646 0.000000
 95.600005 -1.430556 1.321656 0.000000
 95.800005 -1.415614 1.196789 0.000000
 96.000005 -1.337932 0.609307 0.000000
 96.200005 -1.583902 1.000669 0.000000
 96.400005 -1.273216 0.783136 0.000000
 96.600005 -1.451366 0.853863 0.000000
 96.800005 -1.336713 1.274834 0.000000
 97.000005 -1.559050 1.436242 0.000000
 97.200005 -1.541224 1.045528 0.000000
 97.400005 -1.444508 1.085155 0.000000
 97.600005 -1.290465 0.787952 0.000000
 97.800005 -1.547032 1.502574 0.000000
 98.000005 -1.409280 1.796651 0.000000
 98.200005 -1.474711 1.153830 0.000000
 98.400005 -1.452347 0.826143 0.000000
 98.600005 -1.711436 0.953429 0.000000
 98.800005 -1.221121 1.005294 0.000000
 99.000005 -1.442893 1.088344 0.000000
 99.200005 -1.031293 0.831196 0.000000
 99.400005 -1.377370 0.830126 0.000000
 99.600005 -1.450422 1.060420 0.000000
 99.800005 -1.442533 1.398129 0.000000
 100.000005 -1.356994 1.319155 0.000000
 100.200005 -1.359834 0.962742 0.000000
 100.400005 -1.505926 1.181055 0.000000
 100.600005 -1.337533 1.242064 0.000000
 100.800005 -1.556858 0.910329 0.000000
 101.000005 -1.470410 1.071085 0.000000
 101.200005 -1.601869 0.611613 0.000000
 101.400005 -1.484400 0.704184 0.000000
 101.600005 -1.657006 1.305424 0.000000
 101.800005 -1.339204 1.102985 0.000000
 102.000005 -1.485946 1.157131 0.000000
 102.200005 -1.222808 1.635133 0.000000
 102.400005 -1.161409 1.534589 0.000000
 102.600005 -1.411870 1.023492 0.000000
 102.800005 -1.120400 1.233583 0.000000
 103.000005 -1.498865 1.052091 0.000000
 103.200005 -1.486254 0.784707 0.000000
 103.400005 -1.347329 0.428325 0.000000
 103.600005 -1.287510 0.747461 0.000000
 103.800005 -1.362462 0.849856 0.000000
 104.000005 -1.238737 0.327499 0.000000
 104.200005 -1.487725 0.308213 0.000000
 104.400005 -1.456652 0.894548 0.000000
 104.600005 -1.294187 0.673925 0.000000
 104.800005 -1.587699 0.590176 0.000000
 105.000005 -1.068994 0.473460 0.000000
 105.200005 -1.067776 0.333508 0.000000
 105.400005 -1.454639 0.637782 0.000000
 105.600005 -1.390444 1.208807 0.000000
 105.800005 -1.244978 1.376925 0.000000
 106.000005 -1.350372 1.400099 0.000000
 106.200005 -1.354243 0.424392 0.000000
 106.400005 -1.464726 0.623844 0.000000
 106.600005 -1.490681 0.957502 0.000000
 106.800005 -1.355880 1.085208 0.000000
 107.000005 -1.195136 0.710835 0.000000
 107.200005 -1.456493 1.173127 0.000000
 107.400005 -1.109408 1.455414 0.000000
 107.600005 -1.712785 1.077530 0.000000
 107.800005 -2.163863 0.855308 0.000000
 108.000005 -1.818985 1.312738 0.000000
 108.200005 -1.335491 1.080444 0.000000
 108.400005 -1.536236 1.208039 0.000000
 108.600005 -1.523034 0.851348 0.000000
 108.800005 -1.178562 0.984582 0.000000
 109.000005 -1.406118 1.329937 0.000000
 109.200005 -1.765530 1.312826 0.000000
 109.400005 -1.221284 1.438426 0.000000
 109.600005 -1.357706 1.583492 0.000000
 109.800005 -1.742990 1.939283 0.000000
 110.000005 -1.416886 2.304810 0.000000
 110.200005 -1.703249 2.127469 0.000000
 110.400005 -1.721380 2.086328 0.000000
 110.600005 -1.587548 1.974154 0.000000
 110.800005 -1.242453 2.241712 0.000000
 111.000005 -1.290129 1.985675 0.000000
 111.200005 -1.376479 2.538003 0.000000
 111.400005 -1.693579 1.985109 0.000000
 111.600005 -1.369352 1.172360 0.000000
 111.800005 -1.457849 0.515664 0.000000
 112.000005 -1.466871 -0.045777 0.000000
 112.200005 -1.005042 -0.538825 0.000000
 112.400005 -1.286681 -0.050848 0.000000
 112.600005 -1.649114 0.258139 0.000000
 112.800005 -1.477229 0.471716 0.000000
 113.000005 -1.443800 1.095627 0.000000
 113.200005 -1.508450 1.188367 0.000000
 113.400005 -1.410664 0.889112 0.000000
 113.600005 -1.533709 0.681310 0.000000
 113.800005 -1.240898 1.009384 0.000000
 114.000005 -1.272833 0.504977 0.000000
 114.200005 -1.254230 0.293022 0.000000
 114.400005 -1.493502 0.691798 0.000000
 114.600005 -1.397294 1.318846 0.000000
 114.800005 -1.377853 1.002020 0.000000
 115.000005 -1.427852 1.096220 0.000000
 115.200005 -1.471247 1.007558 0.000000
 115.400005 -1.296283 0.601160 0.000000
 115.600005 -1.645650 0.467107 0.000000
 115.800006 -1.867291 0.627073 0.000000
 116.000006 -1.415151 1.147959 0.000000
 116.200006 -1.445736 1.020513 0.000000
 116.400006 -1.815071 1.150071 0.000000
 116.600006 -1.450941 1.008541 0.000000
 116.800006 -1.407404 1.254826 0.000000
 117.000006 -1.260226 1.071230 0.000000
 117.200006 -1.343831 1.345690 0.000000
 117.400006 -1.333679 1.577017 0.000000
 117.600006 -1.620481 1.566689 0.000000
 117.800006 -1.076584 1.584031 0.000000
 118.000006 -1.337369 0.624176 0.000000
 118.200006 -1.651286 0.625817 0.000000
 118.400006 -1.354825 0.664294 0.000000
 118.600006 -1.069891 0.221771 0.000000
 118.800006 -1.456367 0.379556 0.000000
 119.000006 -1.317471 0.586538 0.000000
 119.200006 -1.395428 0.698764 0.000000
 119.400006 -1.118122 1.152410 0.000000
 119.600006 -1.833815 0.859929 0.000000
 119.800006 -1.585320 0.947457 0.000000
 120.000006 -1.192328 1.426933 0.000000
 120.200006 -1.433668 1.899496 0.000000
 120.400006 -1.139853 1.275178 0.000000
 120.600006 -1.398290 0.964167 0.000000
 120.800006 -1.079487 0.344081 0.000000
 121.000006 -1.307299 0.630969 0.000000
 121.200006 -1.380002 0.858734 0.000000
 121.400006 -1.444972 0.918841 0.000000
 121.600006 -1.728828 1.008350 0.000000
 121.800006 -1.583962 0.768783 0.000000
 122.000006 -1.280168 0.507640 0.000000
 122.200006 -1.314326 0.911274 0.000000
 122.400006 -1.132216 0.546707 0.000000
 122.600006 -1.269357 0.653650 0.000000
 122.800006 -1.316758 0.807350 0.000000
 123.000006 -1.548068 0.657125 0.000000
 123.200006 -1.920164 0.703665 0.000000
 123.400006 -1.608479 0.990742 0.000000
 123.600006 -1.261068 1.172227 0.000000
 123.800006 -1.676599 1.184739 0.000000
 124.000006 -1.308776 1.103815 0.000000
 124.200006 -1.759474 0.962859 0.000000
 124.400006 -1.175339 1.281054 0.000000
 124.600006 -1.298861 0.996095 0.000000
 124.800006 -1.491667 0.600123 0.000000
 125.000006 -1.562485 0.745323 0.000000
 125.200006 -1.524054 1.017916 0.000000
 125.400006 -1.349476 1.300613 0.000000
 125.600006 -1.401204 1.077410 0.000000
