3.7999000000035945 [1.528637403106126, 2.8843549103862873] 0.6839464571663436
3.8499000000037 [1.1512414865139673, 2.349931224767647] 0.9992095155285144
3.8999000000038055 [1.522778655510688, 2.4082081924233476] 0.795894589542492
3.949900000003911 [1.551184288394703, 2.7452776468774536] 0.6066183947811664
3.9999000000040166 [1.5937226604711738, 2.199161589530494] 0.9294459122610366
4.0499000000039 [1.3977119004320357, 2.3874423879836173] 0.8871907053044075
4.0999000000037835 [1.608864436556918, 2.687211921795395] 0.5829775059291847
4.149900000003667 [1.5160868386117632, 3.094808258597913] 0.9805990462654323
4.1999000000035505 [1.0782017637073167, 2.478697319763379] 0.9859793259130641
4.249900000003434 [1.4666441455003563, 2.983109529079159] 0.8639843899772978
4.299900000003317 [1.7190602468447818, 2.6765167398015404] 0.5854494138963598
4.349900000003201 [1.9258301647011702, 2.5175376789107076] 0.8437103375527273
4.399900000003084 [1.8423663670704014, 2.570464922342762] 0.6283197213251588
4.449900000002968 [1.3974380410111917, 2.509230105097692] 0.7701292185470885
4.499900000002851 [1.6107954962851379, 2.349609005575042] 0.7978349084619477
4.549900000002735 [1.5002772149705552, 2.337446021857738] 0.7701056113519206
4.599900000002618 [1.5893743461917864, 2.511169463817222] 0.6244637785983844
4.649900000002502 [1.4669472967358257, 2.812513299391168] 0.62593536694964
4.699900000002385 [1.711082076774539, 2.577900426114369] 0.5465399436565656
4.749900000002269 [1.4885989386748584, 2.455811568965036] 0.6622541638514742
4.799900000002152 [1.209787576930815, 2.646188707037031] 0.9256709936789467
4.849900000002036 [1.3614957129384417, 2.867862117962177] 0.820249278714094
4.899900000001919 [1.0913475766710068, 2.789585581335215] 0.998732762654495
4.9499000000018025 [1.9336332962675744, 2.975234414514759] 0.9705059493590031
4.999900000001686 [1.997595190945122, 2.356596860581955] 0.9958270011144068
5.0499000000015695 [1.944192309359844, 2.3832230931191236] 0.8805660245882589
5.099900000001453 [1.8704294057419013, 2.361876372918343] 0.8000900875814599
5.149900000001336 [1.757453331985662, 2.392979935508569] 0.7170344959325101
5.19990000000122 [1.8106747528666678, 2.59937240760964] 0.5124086346119707
5.249900000001103 [1.6495703223484346, 2.619769443113644] 0.5807687169682205
5.299900000000987 [1.5838583145534986, 2.5323081770533213] 0.5469272946671229
5.34990000000087 [1.3557177131497877, 2.4018145307954772] 0.8225216701369279
5.399900000000754 [1.218989718547326, 2.452525844302456] 0.943384529101786
5.449900000000637 [1.5074944903263412, 2.647742428041357] 0.5753041346162572
5.499900000000521 [1.3188478917911675, 2.7114744663738946] 0.7285304509553509
5.549900000000404 [1.165589995394715, 2.548139169447517] 0.8176398358402373
5.599900000000288 [1.4238812233955525, 2.3333831422692604] 0.773850532081254
5.649900000000171 [1.2612124720649889, 2.5424782018352734] 0.7888020608146459
5.699900000000055 [1.2999459504591326, 2.9778775632235672] 0.9732886836442258
5.749899999999938 [1.2838431521519238, 2.4366552243870467] 0.8266939500944158
5.7998999999998215 [1.4541285529770893, 2.397248401354794] 0.6066087195653987
5.849899999999705 [1.956640905391016, 2.4544218335325487] 0.7986947287209217
5.8998999999995885 [1.5770018753311432, 2.6445928964672563] 0.5357903206272293
5.949899999999472 [1.7386172459876412, 2.554712988542393] 0.5018508146678932
5.999899999999355 [1.7801323241677156, 2.771397447188814] 0.637365282965029
6.049899999999239 [1.9763960764493977, 2.804757669317726] 0.8114498659426286
6.099899999999122 [1.5930032029080838, 2.9804999750139407] 0.7944112059479301
6.149899999999006 [1.8540247210984395, 2.873776674903097] 0.7793056433267332
6.199899999998889 [1.771593134113703, 3.0222814506368865] 0.8788533692721217
6.249899999998773 [1.3100876589398422, 3.064479932156752] 0.9358370565899584
6.299899999998656 [1.332454201686141, 2.6745716045777144] 0.6653371688456267
6.34989999999854 [1.6982958311043115, 2.4356171980637464] 0.6336729628056709
6.399899999998423 [1.9372145021334775, 2.558398299506851] 0.72538678750146
6.449899999998307 [1.6951568081645563, 2.419507249179951] 0.5929014292128139
6.49989999999819 [1.8445165259392238, 2.5009544607351826] 0.6214403208077569
6.549899999998074 [2.014742988417939, 2.611942996119347] 0.7630753113534867
6.599899999997957 [1.8592024844934802, 2.9615395191541705] 0.80136722640236
6.6498999999978405 [2.0152905000126737, 3.003464647365927] 0.9088928932514261
6.699899999997724 [2.031185239324389, 2.7382435228300235] 0.7372081997586551
6.7498999999976075 [1.965458126772354, 2.4512783036365438] 0.7089864508073443
6.799899999997491 [1.6632882353867047, 2.5257200398662083] 0.5165769032488693
6.849899999997374 [1.8425938277231686, 2.321694806026472] 0.7929520080155753
6.899899999997258 [1.49015066099492, 2.765090245388167] 0.5697341764823057
6.949899999997141 [1.442418270351241, 2.7585303418301517] 0.563892843792073
6.999899999997025 [1.398402858169692, 2.6339996534935453] 0.5989642216804811
7.049899999996908 [1.2770369999601108, 2.7054983369998373] 0.6738007735430581
7.099899999996792 [1.2843586079131881, 2.5991176463626715] 0.6784760695139835
7.149899999996675 [1.0047978609625554, 2.419995325756576] 0.9625476639881706
7.199899999996559 [1.5131015307844538, 2.818435687088591] 0.4930547305207543
7.249899999996442 [1.394427083255726, 2.865623224898311] 0.6625371403132375
7.299899999996326 [1.8239735067810647, 2.8360333960137654] 0.6593673792447675
7.349899999996209 [1.911942787846698, 2.6806902969404844] 0.5910229966518308
7.399899999996093 [1.6614919447899548, 2.627161513444725] 0.49038039812028444
7.449899999995976 [1.727387308598774, 3.073294199196372] 0.8973265486987554
7.4998999999958595 [1.3192620930625925, 2.877344562091622] 0.7712148038206446
7.549899999995743 [1.4606594700210855, 2.556554662360207] 0.6089682919884498
7.5998999999956265 [1.3106405156349288, 2.5264620157963966] 0.63995493069811
7.64989999999551 [1.648234940197156, 2.963404024924266] 0.7112231435794272
7.699899999995393 [1.6240065384304834, 3.1243125667348304] 0.9563096902110243
