#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 3.520000 -1.390009 1.014808 2.426437
 3.540000 -1.242201 1.012819 2.707990
 3.560000 -1.491354 1.073130 2.046185
 3.580000 -1.308068 1.090441 2.636415
 3.600000 -1.336995 1.023473 2.575473
 3.620000 -1.429281 0.970979 2.291131
 3.640000 -1.375576 1.022309 2.471251
 3.660000 -1.416825 0.839169 2.335988
 3.680000 -1.493829 0.845408 2.035810
 3.700000 -1.390267 0.701414 2.425609
 3.720000 -1.435857 0.658864 2.266790
 3.740000 -1.479243 0.657341 2.096372
 3.760000 -1.516019 0.570787 1.941160
 3.780000 -1.451962 0.477519 2.205419
 3.800000 -1.491688 0.532156 2.044789
 3.820000 -1.669671 0.537217 1.247933
 3.840000 -1.730533 0.425993 0.982635
 3.860000 -1.703758 0.262681 1.097133
 3.880000 -1.715938 0.451041 1.044542
 3.900000 -1.735188 0.241463 0.963165
 3.920000 -1.714512 0.281211 1.050659
 3.940000 -1.687817 0.266255 1.167068
 3.960000 -1.798178 0.069024 0.715837
 3.980000 -1.970257 0.187056 0.241014
 4.000000 -1.897098 0.092336 0.403866
 4.020000 -2.065810 -0.022415 1.033505
 4.040000 -1.932396 -0.122176 1.468351
 4.060000 -1.983975 0.084035 1.310242
 4.080000 -1.955283 -0.073054 1.400384
 4.100000 -1.883916 0.036656 1.599529
 4.120000 -1.988048 0.113966 1.297044
 4.140000 -2.070324 0.185558 1.017818
 4.160000 -2.078008 0.065326 0.991068
 4.180000 -2.140321 0.179214 0.776031
 4.200000 -2.131739 0.148997 0.805111
 4.220000 -1.989774 0.024792 1.291425
 4.240000 -2.049737 0.130031 1.089081
 4.260000 -2.007208 0.035765 1.233794
 4.280000 -1.803887 0.010608 1.778708
 4.300000 -1.681284 0.022220 1.995728
 4.320000 -1.705760 -0.049429 1.954668
 4.340000 -1.610319 -0.073574 2.118451
 4.360000 -1.565711 -0.038337 2.202233
 4.380000 -1.536099 0.059274 2.261457
 4.400000 -1.175315 -0.135511 2.683362
 4.420000 -1.347704 0.149116 2.650807
 4.440000 -1.384455 0.247360 2.583973
 4.460000 -1.339577 0.356071 2.663858
 4.480000 -1.332677 0.357978 2.674344
 4.500000 -1.327090 0.494414 2.682407
 4.520000 -1.132412 0.441117 2.584828
 4.540000 -1.282569 0.614916 2.730481
 4.560000 -1.260086 0.615538 2.741756
 4.580000 -1.274486 0.601927 2.735650
 4.600000 -1.334433 0.709590 2.671730
 4.620000 -1.384694 0.574815 2.583503
 4.640000 -1.371266 0.456265 2.609252
 4.660000 -1.535145 0.480673 2.263412
 4.680000 -1.370232 0.261105 2.611176
 4.700000 -1.377596 0.391552 2.597275
 4.720000 -1.308321 0.395930 2.706408
 4.740000 -1.131496 0.301450 2.582199
 4.760000 -1.095566 0.295122 2.462437
 4.780000 -1.431918 0.548991 2.485304
 4.800000 -1.452532 0.464854 2.440446
 4.820000 -1.407114 0.508770 2.538043
 4.840000 -1.360116 0.510014 2.629553
 4.860000 -1.274980 0.660689 2.735369
 4.880000 -1.312155 0.701753 2.701914
 4.900000 -1.193137 0.769263 2.710222
 4.920000 -1.066068 0.785218 2.341039
 4.940000 -1.314575 0.819913 2.698966
 4.960000 -1.324355 0.871667 2.686207
 4.980000 -1.478965 0.860096 2.382692
 5.000000 -1.483031 0.948450 2.373847
 5.020000 -1.390635 1.016523 3.498122
 5.040000 -1.433377 0.794639 3.454746
 5.060000 -1.434706 0.689794 3.452884
 5.080000 -1.283121 0.708172 3.450118
 5.100000 -1.308886 0.570853 3.483655
 5.120000 -1.410721 0.721933 3.481794
 5.140000 -1.357814 0.821657 3.508448
 5.160000 -1.423137 0.827453 3.468074
 5.180000 -1.336010 0.970108 3.503530
 5.200000 -1.384062 1.124987 3.501844
 5.220000 -1.545969 1.041677 3.202406
 5.240000 -1.564958 1.216153 3.143748
 5.260000 -1.385907 1.116078 3.500882
 5.280000 -1.529297 1.022114 3.250590
 5.300000 -1.471123 0.817980 3.390672
 5.320000 -1.387383 0.836847 3.500065
 5.340000 -1.269667 0.621013 3.426771
 5.360000 -1.316520 0.647639 3.490824
 5.380000 -1.374405 0.634000 3.505826
 5.400000 -1.299063 0.730410 3.472583
 5.420000 -1.225811 0.596887 3.322218
 5.440000 -1.196509 0.544640 3.227851
 5.460000 -1.415048 0.564917 3.477321
 5.480000 -1.420361 0.471211 3.471376
 5.500000 -1.499808 0.480318 3.327399
 5.520000 -1.422823 0.435638 3.468455
 5.540000 -1.294192 0.389185 3.466312
 5.560000 -1.451666 0.392640 3.426560
 5.580000 -1.211026 0.291578 3.277054
 5.600000 -1.366688 0.452881 3.507717
 5.620000 -1.140465 0.282711 2.993797
 5.640000 -1.340640 0.351491 3.505385
 5.660000 -1.269132 0.302066 3.425759
 5.680000 -1.475615 0.337071 3.381559
 5.700000 -1.204766 0.268772 3.256425
 5.720000 -1.097420 0.240235 2.769986
 5.740000 -1.194099 0.320275 3.219216
 5.760000 -1.024625 0.372899 2.323497
 5.780000 -1.104531 0.376008 2.809346
 5.800000 -0.865065 0.321793 1.261555
 5.820000 -0.933930 0.362623 1.710902
 5.840000 -1.173553 0.454084 3.140298
 5.860000 -1.230772 0.450049 3.336251
 5.880000 -1.372511 0.388691 3.506397
 5.900000 -1.265505 0.284238 3.418728
 5.920000 -1.391971 0.263749 3.497267
 5.940000 -1.465342 0.216621 3.401950
 5.960000 -1.565392 0.129660 3.142362
 5.980000 -1.309833 0.125543 3.484612
 6.000000 -1.484644 0.125840 3.362332
 6.020000 -1.421145 0.009812 4.357727
 6.040000 -1.474274 0.278201 4.299936
 6.060000 -1.451219 -0.016419 4.335568
 6.080000 -1.562204 0.077995 4.025766
 6.100000 -1.252778 -0.049774 3.987170
 6.120000 -1.330729 -0.009495 4.258776
 6.140000 -1.219162 -0.140294 3.823226
 6.160000 -1.095923 0.034589 3.033938
 6.180000 -1.048202 -0.105587 2.673819
 6.200000 -1.092406 0.099683 3.008091
 6.220000 -0.937289 -0.122725 1.815448
 6.240000 -1.362175 0.200110 4.320881
 6.260000 -1.357723 0.057255 4.313846
 6.280000 -1.356333 0.156307 4.311531
 6.300000 -1.206560 0.215185 3.755266
 6.320000 -1.175362 0.355176 3.573022
 6.340000 -1.226051 0.415159 3.858918
 6.360000 -1.490651 0.640506 4.265042
 6.380000 -1.144916 0.483796 3.377797
 6.400000 -1.383307 0.722147 4.346222
 6.420000 -1.428350 0.597892 4.354944
 6.440000 -1.565327 0.798259 4.012394
 6.460000 -1.481878 0.739526 4.284711
 6.480000 -1.623577 0.804719 3.726488
 6.500000 -1.579209 1.086241 3.950337
 6.520000 -1.713359 1.066375 3.192593
 6.540000 -1.851886 1.186011 2.319663
 6.560000 -1.936085 1.248341 1.826200
 6.580000 -1.771533 1.313815 2.822671
 6.600000 -1.749257 1.406063 2.964742
 6.620000 -1.680572 1.226718 3.396044
 6.640000 -1.622485 1.382928 3.732408
 6.660000 -1.678052 1.479105 3.411383
 6.680000 -1.562162 1.500763 4.025945
 6.700000 -1.566221 1.484630 4.008522
 6.720000 -1.547824 1.507616 4.084415
 6.740000 -1.441822 1.251425 4.345470
 6.760000 -1.225587 1.286852 3.856548
 6.780000 -1.294954 1.226283 4.154082
 6.800000 -1.158276 1.083303 3.465425
 6.820000 -1.029369 0.999704 2.527658
 6.840000 -1.098908 0.981455 3.055766
 6.860000 -1.118721 0.953180 3.197956
 6.880000 -1.330083 0.811190 4.257202
 6.900000 -1.289798 0.738195 4.136128
 6.920000 -1.414387 0.710319 4.358891
 6.940000 -1.299572 0.546721 4.169560
 6.960000 -1.399226 0.471598 4.356405
 6.980000 -1.385312 0.476593 4.347929
 7.000000 -1.274952 0.411228 4.080555
 7.020000 -1.021298 0.424770 2.981081
 7.040000 -0.870221 0.374927 1.568758
 7.060000 -1.168075 0.679456 4.317205
 7.080000 -0.859203 0.595648 1.479699
 7.100000 -1.172485 0.700592 4.350575
 7.120000 -1.163082 0.699401 4.278766
 7.140000 -1.600667 0.817026 4.215861
 7.160000 -1.554240 0.609328 4.521610
 7.180000 -1.616382 0.810300 4.104596
 7.200000 -1.549468 0.656626 4.550637
 7.220000 -1.706029 0.868640 3.432953
 7.240000 -1.576785 0.696530 4.378021
 7.260000 -1.589929 0.820584 4.289910
 7.280000 -1.599241 0.901568 4.225795
 7.300000 -1.379651 0.849094 5.135155
 7.320000 -1.368795 0.931128 5.136423
 7.340000 -1.360278 0.972681 5.134047
 7.360000 -1.432839 0.975968 5.060825
 7.380000 -1.532209 0.951742 4.651181
 7.400000 -1.562705 1.012020 4.468901
 7.420000 -1.520095 0.958551 4.717279
 7.440000 -1.641086 1.063043 3.924109
 7.460000 -1.557399 0.797962 4.502116
 7.480000 -1.404458 0.879409 5.114360
 7.500000 -1.270942 0.686375 4.929591
 7.520000 -1.017463 0.678434 2.943058
 7.540000 -0.949346 0.609335 2.276103
 7.560000 -1.269788 0.766045 4.924842
 7.580000 -1.209158 0.724784 4.605182
 7.600000 -1.474744 0.850808 4.927224
 7.620000 -1.593994 0.806949 4.262085
 7.640000 -1.583765 0.826064 4.331596
 7.660000 -1.615341 0.689583 4.112059
 7.680000 -1.903184 0.725055 2.049266
 7.700000 -1.692026 0.513557 3.539611
 7.720000 -1.837917 0.716929 2.472311
 7.740000 -1.814757 0.430364 2.631815
 7.760000 -1.761932 0.608199 3.012223
 7.780000 -1.808525 0.535431 2.675532
 7.800000 -1.644597 0.519145 3.898016
 7.820000 -1.609436 0.327096 4.154171
 7.840000 -1.551465 0.225574 4.538552
 7.860000 -1.745663 0.319089 3.133262
 7.880000 -1.569004 0.098374 4.428721
 7.900000 -1.645916 0.211615 3.888199
 7.920000 -1.438400 0.075196 5.046745
 7.940000 -1.455903 -0.008704 4.995011
 7.960000 -1.563155 0.049691 4.466059
 7.980000 -1.419581 -0.057915 5.089691
 8.000000 -1.463393 -0.032183 4.969525
 8.020000 -1.177202 -0.174726 4.803271
 8.040000 -1.366198 -0.023402 5.882874
 8.060000 -1.231690 -0.201767 5.263388
 8.080000 -1.366793 0.011278 5.883682
 8.100000 -1.152742 -0.168973 4.568420
 8.120000 -1.119029 -0.054378 4.223077
 8.140000 -1.023573 -0.209791 3.173815
 8.160000 -1.026396 -0.112292 3.205221
 8.180000 -0.953813 -0.207977 2.418383
 8.200000 -0.883256 -0.151099 1.730575
 8.220000 -1.064622 -0.136049 3.631171
 8.240000 -1.080426 -0.088772 3.805987
 8.260000 -1.029589 -0.249149 3.240765
 8.280000 -1.122101 -0.289258 4.255409
 8.300000 -1.175169 -0.389518 4.784333
 8.320000 -1.371525 -0.273837 5.889470
 8.340000 -1.335514 -0.450225 5.816780
 8.360000 -1.232246 -0.313157 5.267562
 8.380000 -1.171379 -0.455250 4.748742
 8.400000 -0.951650 -0.532407 2.395899
 8.420000 -1.084809 -0.340836 3.854162
 8.440000 -1.120283 -0.181361 4.236291
 8.460000 -0.895790 -0.161193 1.845019
 8.480000 -0.925782 -0.154900 2.133170
 8.500000 -0.932651 -0.028218 2.201756
 8.520000 -0.721041 -0.283424 0.622020
 8.540000 -0.837947 -0.150515 1.349443
 8.560000 -0.685544 -0.250817 0.471975
 8.580000 -0.811779 -0.379371 1.154155
 8.600000 -0.856077 -0.293751 1.495585
 8.620000 -1.014212 -0.139375 3.069961
 8.640000 -0.856277 -0.133171 1.497245
 8.660000 -1.008576 -0.151411 3.007666
 8.680000 -1.126171 0.165074 4.298011
 8.700000 -1.161249 0.065370 4.651783
 8.720000 -1.274263 0.183139 5.547712
 8.740000 -1.396611 0.268534 5.900939
 8.760000 -1.659500 0.290423 4.378250
 8.780000 -1.738393 0.188213 3.627025
 8.800000 -1.719263 0.154154 3.808893
 8.820000 -1.703211 0.223204 3.962355
 8.840000 -1.684820 0.285003 4.138216
 8.860000 -1.396121 0.156705 5.901026
 8.880000 -1.754632 0.527239 3.474313
 8.900000 -1.653136 0.390273 4.437844
 8.920000 -1.822102 0.525793 2.867509
 8.940000 -1.810545 0.557463 2.967563
 8.960000 -1.943364 0.625828 1.934428
 8.980000 -1.737361 0.470809 3.636794
 9.000000 -1.972688 0.871057 1.740947
 9.020000 -2.041214 0.642445 2.339472
 9.040000 -2.103996 0.774941 1.924564
 9.060000 -2.184065 0.848614 1.407792
 9.080000 -2.080986 0.812683 2.077018
 9.100000 -2.111929 0.908080 1.872124
 9.120000 -2.283155 0.721343 0.851759
 9.140000 -2.311446 0.716746 0.719028
 9.160000 -2.259126 0.819186 0.974462
 9.180000 -2.174033 0.967032 1.470266
 9.200000 -1.906265 0.924933 3.204181
 9.220000 -2.026029 0.981769 2.439027
 9.240000 -2.065220 1.179264 2.181384
 9.260000 -1.957450 1.110558 2.881704
 9.280000 -2.175366 1.231496 1.461918
 9.300000 -1.829625 1.259184 3.689072
 9.320000 -1.808205 1.316730 3.828186
 9.340000 -1.790193 1.426808 3.947036
 9.360000 -1.801689 1.373828 3.870973
 9.380000 -1.566592 1.533573 5.461404
 9.400000 -1.481393 1.481376 5.853588
 9.420000 -1.454328 1.506297 5.925043
 9.440000 -1.417590 1.675948 5.972492
 9.460000 -1.445599 1.579548 5.941652
 9.480000 -1.210352 1.448013 5.102796
 9.500000 -1.147940 1.467274 4.523139
 9.520000 -1.116110 1.411392 4.193149
 9.540000 -1.132110 1.522679 4.361295
 9.560000 -0.918482 1.220531 2.061302
 9.580000 -1.155362 1.555028 4.597247
 9.600000 -0.937387 1.271489 2.249558
 9.620000 -1.431625 1.535491 5.961377
 9.640000 -1.393477 1.439833 5.970679
 9.660000 -1.205365 1.452793 5.060544
 9.680000 -1.186067 1.291829 4.889859
 9.700000 -1.244154 1.378663 5.367101
 9.720000 -1.296678 1.166974 5.691498
 9.740000 -1.459782 1.278673 5.913033
 9.760000 -1.526518 1.152250 5.673682
 9.780000 -1.412948 1.099514 5.974218
 9.800000 -1.505546 1.114214 5.766054
 9.820000 -1.215280 0.843850 5.143766
 9.840000 -1.355666 0.928277 5.913284
 9.860000 -1.262499 0.762860 5.493037
 9.880000 -0.954377 0.749161 2.424259
 9.900000 -0.945573 0.776313 2.333120
 9.920000 -0.990989 0.801710 2.814931
 9.940000 -0.917262 0.672197 2.049390
 9.960000 -1.183761 0.848891 4.868743
 9.980000 -1.412198 0.759217 5.974405
 10.000000 -1.573047 0.857851 5.423500
 10.020000 -1.549752 0.794156 6.329214
 10.040000 -1.565849 0.814138 6.242199
 10.060000 -1.535015 0.894126 6.400206
 10.080000 -1.620507 0.726757 5.884432
 10.100000 -1.784135 0.753258 4.530870
 10.120000 -1.784050 0.877351 4.531595
 10.140000 -1.928265 0.838800 3.348201
 10.160000 -1.919816 0.866700 3.415081
 10.180000 -1.858416 0.837702 3.909428
 10.200000 -1.811297 0.977289 4.300715
 10.220000 -1.705401 0.921762 5.204874
 10.240000 -1.838663 1.029321 4.072130
 10.260000 -1.801415 0.876744 4.384094
 10.280000 -1.777342 0.784227 4.588857
 10.300000 -1.805761 0.823565 4.347376
 10.320000 -1.717471 0.839457 5.102184
 10.340000 -1.723602 0.814492 5.049786
 10.360000 -1.774837 0.827657 4.610273
 10.380000 -1.708583 0.882811 5.177873
 10.400000 -1.758308 0.873059 4.751910
 10.420000 -1.609346 0.898836 5.964274
 10.440000 -1.688917 0.747188 5.343689
 10.460000 -1.622651 0.771717 5.868755
 10.480000 -1.509207 0.495912 6.502824
 10.500000 -1.567036 0.483347 6.235417
 10.520000 -1.560292 0.421632 6.273305
 10.540001 -1.652843 0.410038 5.638014
 10.560001 -1.532179 0.426974 6.412866
 10.580001 -1.182872 0.344242 5.089329
 10.600001 -1.066265 0.367351 3.747584
 10.620001 -0.933222 0.194579 2.235424
 10.640001 -1.220067 0.427153 5.468555
 10.660001 -0.986023 0.159992 2.808939
 10.680001 -1.083150 0.442929 3.948522
 10.700001 -0.948440 0.256414 2.395488
 10.720001 -1.076401 0.433891 3.868240
 10.740001 -1.115064 0.365102 4.325874
 10.760001 -1.287591 0.583633 6.047572
 10.780001 -1.102498 0.384425 4.177997
 10.800001 -1.201944 0.565731 5.288241
 10.820001 -1.199560 0.322790 5.263869
 10.840001 -1.416454 0.534186 6.611184
 10.860001 -1.395236 0.493385 6.574604
 10.880001 -1.259422 0.563375 5.825667
 10.900001 -1.203114 0.584775 5.300150
 10.920001 -1.142653 0.734508 4.644973
 10.940001 -1.068231 0.749456 3.770991
 10.960001 -1.267723 0.882374 5.894193
 10.980001 -1.183192 0.942927 5.092736
 11.000001 -1.323992 0.949452 6.286217
 11.020001 -1.396841 1.212269 7.272897
 11.040001 -1.383691 1.233936 7.249451
 11.060001 -1.363997 1.218749 7.194515
 11.080001 -1.512972 1.475970 7.034060
 11.100001 -1.384861 1.414111 7.251968
 11.120001 -1.437923 1.628388 7.277856
 11.140001 -1.352354 1.555172 7.150969
 11.160001 -1.375784 1.570627 7.230236
 11.180001 -1.441743 1.436466 7.273140
 11.200001 -1.383833 1.403258 7.249761
 11.220001 -1.165612 1.382918 5.495151
 11.240001 -0.949200 1.156392 2.638290
 11.260001 -1.043997 1.170976 3.869372
 11.280001 -0.993431 1.172599 3.194613
 11.300001 -1.087367 1.206334 4.461309
 11.320001 -0.941705 1.228446 2.548279
 11.340001 -1.170277 1.274992 5.553263
 11.360001 -1.080465 1.245701 4.367127
 11.380001 -1.069233 1.243133 4.213668
 11.400001 -1.249282 1.227623 6.431772
 11.420001 -1.162862 1.305016 5.460649
 11.440001 -1.313334 1.367497 6.946548
 11.460001 -1.321906 1.259133 6.998982
 11.480001 -1.583040 1.381008 6.562489
 11.500001 -1.497049 1.288414 7.111114
 11.520001 -1.629970 1.332661 6.156508
 11.540001 -1.296289 1.066978 6.830208
 11.560001 -1.448936 1.150602 7.261904
 11.580001 -1.273319 0.975344 6.649073
 11.600001 -1.051174 0.767405 3.967096
 11.620001 -1.127286 0.889412 4.999876
 11.640001 -1.096361 0.732111 4.583796
 11.660001 -1.257632 0.757626 6.510317
 11.680001 -1.213151 0.846403 6.057723
 11.700001 -1.357904 0.853808 7.172750
 11.720001 -1.311146 0.805113 6.932506
 11.740001 -1.257294 0.784468 6.507204
 11.760001 -1.288474 0.810603 6.771633
 11.780001 -1.391915 0.566221 7.265362
 11.800001 -1.550735 0.695494 6.804165
 11.820001 -1.362349 0.561428 7.188848
 11.840001 -1.520782 0.616659 6.991749
 11.860001 -1.476691 0.676368 7.190500
 11.880001 -1.428613 0.646170 7.285695
 11.900001 -1.307305 0.511016 6.907218
 11.920001 -1.561750 0.734015 6.725938
 11.940001 -1.388197 0.574547 7.258685
 11.960001 -1.351068 0.706959 7.145661
 11.980001 -1.103326 0.808386 4.678348
 12.000001 -1.073239 0.676113 4.268415
 12.020001 -1.252083 0.937419 7.117907
 12.040001 -1.381362 1.013586 7.642057
 12.060001 -1.379375 0.982455 7.641226
 12.080001 -1.300930 1.089014 7.425786
 12.100001 -1.353460 1.188677 7.609392
 12.120001 -1.409542 1.084210 7.629259
 12.140001 -1.311235 1.190757 7.474174
 12.160001 -1.307996 1.077754 7.459606
 12.180001 -1.311012 1.157789 7.473190
 12.200001 -1.156427 0.934617 6.185425
 12.220001 -1.272817 1.015991 7.264029
 12.240001 -1.359682 0.997998 7.620596
 12.260001 -1.260324 0.998245 7.178637
 12.280001 -1.190909 1.117266 6.565841
 12.300001 -1.191076 0.988275 6.567570
 12.320001 -1.296019 1.166833 7.400643
 12.340001 -1.238967 1.119115 7.014236
 12.360001 -1.316688 1.168049 7.497368
 12.380001 -1.262804 1.420023 7.196235
 12.400001 -1.340936 1.456430 7.580002
 12.420001 -1.201066 1.489197 6.669063
 12.440001 -1.148934 1.619397 6.097168
 12.460001 -1.309737 1.599411 7.467511
 12.480001 -1.128574 1.591721 5.848488
 12.500001 -1.188442 1.478297 6.540127
 12.520001 -1.244234 1.647685 7.056892
 12.540001 -1.177052 1.563965 6.418311
